contract_id,label,text
1,Enrollment in the Affiliate Program; Restricted Content,"1. Enrollment in the Affiliate Program; Restricted Content
To enroll in the Affiliate Program, you must submit a complete “Affiliate Registration Form” via the Chase Affiliate Website:
For new affiliates: https://ssl.linksynergy.com/php-bin/reg/sregister.shtml?mid=2291
For existing affiliates: http://www.linkshare.com/joinprograms?oid=87909
Chase will evaluate your registration form and will notify you via e-mail of the acceptance or rejection of your registration form. Chase reserves, in
its sole discretion, with or without reason, the right to accept or reject your registration into the Chase Affiliate Program, including but not limited to
a determination that your site is unsuitable for or incompatible with the Affiliate Program based on the following criteria (collectively “Restricted
Content”):
• Incorporates images or content that is any way unlawful, offensive, profane, harmful, threatening, defamatory, obscene, harassing or racially,
ethically or otherwise objectionable
• Promote illegal activities, including gambling
• Promotes or depicts sexually explicit, obscene or pornographic images
• Promotes or depicts violence or hate speech
• Promotes discrimination based on race, sex, religion, nationality, disability, sexual orientation or age
Source: CREDITCARDS.COM, INC., S-1, 8/10/2007
• Incorporates any materials which infringe or assist others to infringe on any copyright, trademark or other intellectual property rights
• Contains or promotes politically sensitive or controversial issues
Chase also reserves the right to terminate this Agreement in the event that any Restricted Content is incorporated on Affiliate’s site after
acceptance of your registration form and the commencement of the term of this Agreement. Chase may also terminate this Agreement if your site is
deemed unsuitable based on the criteria below:
• Manipulates key word searches on portals
• Misrepresents itself as a Chase Website by altering the visual “look and feel” of or text from Chase’s site, and/or engage in “framing” the Chase
Website
• Engages in domain squatting
• Engages in spamming or unsolicited commercial e-mail
• Engages in unauthorized telemarketing or remarketing of Chase Credit Card offers via telephone
• Uses Chase products and services in the domain name, URL or URI, including, but not limited to, any combination of the following words:
• JP
• MORGAN
• CHASE
• MANHATTAN
• AARP
• AMAZON.COM
• BALL STATE UNIVERSITY
• BORDERS
• BRITISH AIRWAYS
• CASH PLUS
• CHASE FREEDOM
• CENTRAL MICHIGAN UNIVERSITY
• CONTINENTAL
• CORNELL UNIVERSITY
• DISNEY
• DUKE UNIVERSITY
• FLEXIBLE REWARDS
• FREE CASH
• HARVARD COOP
• HESS
• HOME IMPROVEMENT
• LEHIGH UNIVERSITY
• LOUISIANA STATE UNIVERSITY
• MARATHON
• MARRIOTT
• MIAMI UNIVERSITY
• OHIO UNIVERSITY
• OVERSTOCK
• PERFECT CARD
• PRIORITY CLUB / HOLIDAY INN
• SONY
• SOUTHERN ILLINOIS UNIVERSITY
• SPEEDWAY SUPER AMERICA
Source: CREDITCARDS.COM, INC., S-1, 8/10/2007
• STARBUCKS
• SUBARU
• TEMPLE UNIVERSITY
• TOYS ""R"" US
• TRAVEL PLUS
• TRUMP
• ULTIMATE REWARDS
• UNITED
• UNIVERSAL
• UNIVERSITY OF ARIZONA ATHLETICS
• UNIVERSITY OF CHICAGO
• UNIVERSITY OF FLORIDA
• UNIVERSITY OF HOUSTON
• UNIVERSITY OF IDAHO
• UNIVERSITY OF KENTUCKY
• UNIVERSITY OF MARYLAND
• UNIVERSITY OF MEMPHIS
• UNIVERSITY OF MINNESOTA ATHLETICS
• UNIVERSITY OF NOTRE DAME
• UNIVERSITY OF OKLAHOMA
• UNIVERSITY OF OREGON
• UNIVERSITY OF SOUTH CAROLINA
• UNIVERSITY OF TENNESSEE
• UNIVERSITY OF VIRGINIA
• UTAH STATE UNIVERSITY
• VALUE MILES
• VIRGINIA TECH APPROVED ACCOUNT
• VOLKSWAGEN
• WESTERN ILLINOIS UNIVERSITY
• YALE UNIVERSTIY
• Uses a proxy server or redirector server to proxy Chase web pages or web sites through your website, URL or URI
• Otherwise violates intellectual property rights, including, without limitation, “scraping” text or images from Chase’s Website
• Does not clearly state an online privacy policy to its visitors
• Is based outside of the United States
• Is otherwise considered offensive or inappropriate, at Chase’s discretion"
1,Affiliate Responsibilities:,"2. Affiliate Responsibilities:
• Affiliate cannot use or implement creative that is not available through the LinkShare affiliate interface.
• Affiliates may not harvest or collect personal information, or email addresses using the Chase brand without the written consent of Chase
• If Affiliate manages a sub-affiliate network, upon Chase’s request, Affiliate shall promptly provide Chase with a current, written list identifying the
sub-affiliates or other third parties associated.
• Chase reserves the right to review and approve all sub-affiliate partners.
• Chase shall only use the list for the sole purpose of administering the program and monitoring proper usage, and will not poach or contact
subaffiliates directly.
• Affiliates will not use the following product keyword search terms. (See Appendix)
Source: CREDITCARDS.COM, INC., S-1, 8/10/2007
• If Affiliate manages a sub-affiliate network, the Affiliate may not pay sub-affiliates or other partners higher referral fees than the lowest tier of the
public offer ($55.00).
• Affiliate is prohibited from (a) installing spyware on another person’s computer, (b) causing spyware to be installed on another person’s
computer, or (c) using a context based triggering mechanism to display an advertisement that partially or wholly covers or obscures paid
advertising or other content on an Internet website in a way that interferes with a user’s ability to view the Internet website."
1,Referral Fee,"3. Referral Fee
For each Approved Account (as defined in section 4 below) received through Affiliate’s site, Affiliate will earn a referral fee calculated in
accordance with the schedule set forth below (“Commission”) paid monthly.
• Tiered or flat commission based on private offer terms in the network.
Chase reserves the right to alter above referral fees from time to time upon written notice to Affiliate of such change."
1,Approved Account,"4. Approved Account
For purposes of determining Affiliate’s Commission, an “Approved Account” means any Chase credit card application that is: (i) submitted by any
user who clicks on an e-mail, banner or any other advertising material from Affiliate’s Website; (ii) is approved by Chase; and (iii) is reported as
approved by Chase to Affiliate.
5.Term of this Agreement
The term of this Agreement will commence on the date that the Affiliate Registration Form is approved by Chase and will end when terminated by
either party. Either Affiliate or Chase may terminate this Agreement at any time, with or without cause, by giving the other party written or e-mail
notice of termination. At the time of termination, any links to Chase’s Website must be removed immediately. Affiliate will continue to receive
Commission payments for all Approved Accounts placed during the term of this Agreement. Notwithstanding the foregoing, Chase may
terminate this Agreement if Affiliate does not comply with the terms and conditions herein."
1,Links,"6. Links
Affiliate agrees to place Chase’s links provided by Linkshare NetworkTM which manages the Affiliate Program (“Links”) on its Affiliate’s website.
Affiliate is responsible for obtaining prior written approval from the Chase Affiliate manager or Linkshare Network to link any or all other sites
owned or managed by the Affiliate, other than the site that was approved at the time of original registration. Affiliate may select or remove Links, at
any time without prior approval from Chase. Affiliate is also responsible for removing and/or informing Chase of potential inactive or misdirected
Links. Affiliate agrees to cooperate with Chase in establishing and maintaining Links.
Source: CREDITCARDS.COM, INC., S-1, 8/10/2007"
1,Order Processing,"7. Order Processing
Chase will be solely responsible for processing each order placed by a customer from Affiliate’s Links. Customers may only use the Chase on-line
application process to apply for a Chase credit card. “Customers” are defined herein as individuals who apply for Chase credit cards through a link
in Affiliate’s Web site. Chase shall be responsible for administering application forms and related customer service. All of the rules, operating
procedures and policies of Chase regarding customer orders and accounts will apply to orders received through the Links. Chase reserves the right
to reject any credit card application in its sole discretion."
1,Tracking of Sales,"8. Tracking of Sales
Chase will be solely responsible for tracking Approved Accounts made to customers who follow Affiliate’s Links. Affiliate will be solely
responsible for ensuring that the Links are formatted properly and maintained in a manner, which allows Chase to track such Approved Accounts.
No Commission shall be paid if the Approved Account cannot be tracked by Chase’s system or if the customer accesses the Chase site through
means other than the Links. Chase will provide Affiliate with statements of Approved Account activity at the time Commissions are paid."
1,Terms and Conditions of Credit Cards,"9. Terms and Conditions of Credit Cards
Chase is solely responsible for determining the terms and conditions of the credit cards. The credit card offers may vary from time to time and are
subject to change. Affiliate may not specify details regarding the Chase credit card on their Websites without the prior approval of Chase."
1,Chase Customers,"10. Chase Customers
Customers who apply for Chase credit cards through the Chase Affiliate Program are customers of Chase. Affiliate has no authority to make or
accept any offer on behalf of Chase. All Chase policies regarding customer orders, including availability, pricing and problem resolution, will apply
to these customers. Affiliate has no authority to make, and Chase is not responsible for, any representations made by Affiliate that contradict these
policies."
1,Product Descriptions,"11. Product Descriptions
Affiliate will only use credit card descriptions provided or approved in writing by Chase."
1,Copyrighted Material,"12. Copyrighted Material
Affiliate is solely responsible for ensuring that its reviews and articles obey all applicable copyright and other laws. Generally, Affiliate must have
express permission to use another party’s copyrighted or other proprietary material. Chase is not responsible for Affiliate’s improper use of another
party’s copyrighted or proprietary material.
Source: CREDITCARDS.COM, INC., S-1, 8/10/2007"
1,Commercial Use,"13. Commercial Use
This program is intended for commercial use only. Commissions are payable for Approved Accounts to third parties who access the Chase URL's
(marketing pages) through the Links located on Affiliate’s sponsoring Web site. Affiliates who use this program to apply for credit cards for their
own use are NOT in violation of this Agreement."
1,Trademarks,"14. Trademarks
All Chase trademarks, trade names and service marks (collectively, the “Marks”) are the exclusive property of Chase. Notwithstanding anything set
forth in this Agreement, Chase reserves full ownership of the Marks and the Licensed Materials (as defined below). All
use of the Marks by Affiliate is limited solely to the use contemplated by this Agreement. All use of Chase Marks by Affiliate is subject to the prior
written approval of Chase."
1,Licenses and Use of the Chase Logos and Trademarks,"15. Licenses and Use of the Chase Logos and Trademarks
Chase grants Affiliate a non-exclusive, nontransferable, revocable right to (a) access the Chase site through the links solely in accordance with the
terms of this Agreement and (b) solely in connection with such links, to use Chase’s logos, trade names, trademarks, and similar identifying material
relating to Chase (collectively, the “Licensed Materials”), for the sole purpose of booking Chase products. Prior to using any of the Licensed
Materials, Affiliate will submit to Chase for approval a draft of all proposed material that incorporates the Licensed Materials, together with a brief
statement setting forth the proposed use of such materials and any other background or supporting material reasonably requested by Chase to
allow Chase to make an informed judgment. All such materials shall be submitted to Chase at least seven (7) days prior to the date of first intended
use. Chase will notify Affiliate of its approval or disapproval of such materials within five (5) business days of its receipt of all information required
to be submitted.
The approval or disapproval of such materials will be in Chase’s sole discretion. Any materials not receiving Chase’s specific written preliminary
approval will be deemed disapproved. Affiliate may not alter, modify, or change the Licensed Materials in any way. Affiliate is only entitled to use
the licensed materials to the extent that it is a member in good standing of the Chase Affiliate Program. Affiliate agrees not to use the Licensed
Materials in any manner that is disparaging or that otherwise portrays Chase in a negative light. Chase may revoke Affiliate’s license at any time."
1,Service Interruption,"16. Service Interruption
Certain technical difficulties may, from time to time, result in service interruptions. Affiliate agrees not to hold Chase responsible for the
consequences of such interruptions."
1,Indemnification,"17. Indemnification
Source: CREDITCARDS.COM, INC., S-1, 8/10/2007
Affiliate hereby agrees to indemnify, defend, and hold harmless Chase, its shareholders, officers, directors, employees, agents, affiliates and their
respective directors, officers, employees and agents, successors and assigns, from and against any and all claims, demands, losses, liabilities,
damages or expenses (including attorneys’ fees and costs) of any nature whatsoever incurred or suffered by Chase (collectively the “losses”), in so
far as such losses (or actions in respect thereof) arise out of, are related to, or are based on (i) the breach of any representation, warranty, or
covenant made by Affiliate herein; or (ii) any claim related to Affiliate’s site."
